30,29,19,27,23,25,11,6,10
27,15,18,13,21,14,15,16,25
21,14,14,8,20,18,19,8,22
31,22,12,14,13,10,20,20,8
25,22,17,20,16,20,22,22,24
9,8,26,23,20,19,7,10,19
20,19,24,24,12,11,16,18,37
26,6,14,13,22,11,20,18,15
29,28,22,23,27,7,26,18,10
23,18,9,22,16,15,16,19,20
37,19,11,26,24,14,23,17,24
29,34,15,15,28,30,14,20,14
35,24,16,22,13,16,22,21,5
29,13,8,9,12,22,4,17,29
20,26,11,9,20,16,18,31,12
34,26,10,18,8,31,14,13,16
23,14,33,16,24,23,30,22,23
34,13,23,16,24,10,19,20,18
45,24,18,14,23,16,24,30,14
30,19,18,15,12,18,19,24,17
31,21,12,21,9,21,22,25,24
29,21,17,26,29,18,19,22,20
33,29,24,35,16,14,18,24,11
34,24,14,11,12,23,15,20,14
45,21,16,25,25,12,18,26,19
23,27,16,27,15,13,21,29,16
40,22,10,18,17,15,23,23,23
20,14,19,13,11,25,13,20,17
39,30,15,13,20,14,15,18,8
27,18,8,15,21,29,22,25,30
26,11,19,22,18,13,7,20,21
29,11,24,22,11,8,12,24,24
28,15,15,20,20,10,10,10,14
25,27,22,14,18,10,24,14,11
42,35,15,22,10,14,20,24,19
20,29,22,18,37,6,15,23,6
25,17,21,21,9,14,30,12,23
9,21,12,16,16,27,10,22,12
27,17,24,21,13,15,19,12,18
31,23,14,20,26,14,20,22,8
36,20,18,30,18,20,17,23,8
42,31,12,17,20,14,26,12,12
12,20,27,13,20,21,31,21,22
15,30,20,18,16,24,12,20,15
32,24,9,25,10,17,24,15,21
29,13,11,23,26,14,23,16,23
35,20,15,19,23,30,26,18,19
30,17,12,9,21,29,17,12,27
32,33,20,27,19,15,20,26,13
6,24,15,9,18,15,13,10,22
14,39,19,20,4,30,17,12,7
9,22,23,19,33,7,20,18,22
21,20,15,22,12,18,20,19,20
37,32,24,16,24,18,22,25,24
28,24,33,11,19,16,17,22,7
29,22,24,18,12,28,18,12,18
22,23,14,19,26,22,24,10,25
32,23,20,26,24,15,18,13,34
24,21,42,17,20,31,16,29,9
50,20,17,18,20,11,20,17,18
40,24,27,38,35,9,23,16,15
41,16,21,18,20,24,17,21,15
36,11,18,21,27,13,22,20,28
36,19,31,28,26,8,22,15,13
36,18,31,11,14,18,12,10,17
31,17,18,27,27,7,26,20,9
25,11,20,14,8,14,7,10,12
36,22,6,28,24,16,11,11,19
34,21,19,19,22,17,14,23,18
26,16,21,29,19,12,19,20,17
36,21,24,21,15,15,18,13,14
22,4,30,24,24,26,12,23,21
21,14,32,16,16,17,17,22,15
27,15,11,20,17,13,9,21,15
32,10,29,21,17,7,24,15,25
21,6,33,21,11,18,19,13,25
24,18,30,22,15,15,20,19,12
28,19,8,26,38,24,12,12,20
39,14,22,28,10,21,16,20,19
